brand_name,model_new,variant_name,seller_type_new,fuel_type,transmission_type_new,owner_type,body_type_new,Drive Type,model_year,km_driven,pu,mileage_new,Displacement,Max Power,Max Torque,seating_capacity_new,Length,Width,Height,Color
Kia,Kia Seltos,Kia Seltos HTK,individual,petrol,manual,first,suv,fwd,2026,2042,"1,517,962",16.56 kmpl,1482 cc,157.81 bhp,253 Nm,5,4365,1800,1645,Blue
Maruti,Maruti Fronx,Maruti Fronx Delta+,dealer,petrol,automatic,first,suv,fwd,2025,11400,"771,744",19.49 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,Red
Maruti,Maruti Brezza,Maruti Brezza ZXi,individual,petrol,manual,first,suv,fwd,2026,4078,"1,052,297",15.27 kmpl,1462 cc,101.65 bhp,136.8 Nm,5,3995,1790,1685,Red
Maruti,Maruti Ertiga,Maruti Ertiga LXi,dealer,petrol,automatic,first,muv,fwd,2025,20285,"1,123,365",17.70 kmpl,1462 cc,101.65 bhp,136.8 Nm,7,4395,1735,1690,Grey
Tata,Tata Punch,Tata Punch Adventure,individual,petrol,manual,first,suv,fwd,2026,5687,"598,724",17.55 kmpl,1199 cc,86.63 bhp,115 Nm,5,3827,1742,1615,White
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z6,dealer,diesel,manual,first,suv,fwd,2026,1473,"2,530,838",18.55 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Blue
Maruti,Maruti Ertiga,Maruti Ertiga ZXi+,dealer,petrol,manual,second,muv,fwd,2025,16620,"1,104,406",19.74 kmpl,1462 cc,101.65 bhp,136.8 Nm,7,4395,1735,1690,Red
Hyundai,Hyundai Creta,Hyundai Creta SX,dealer,petrol,manual,first,suv,fwd,2025,13074,"1,373,038",20.50 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Grey
Maruti,Maruti Swift,Maruti Swift VXi,dealer,petrol,automatic,first,hatchback,fwd,2026,3646,"835,863",19.61 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Grey
Hyundai,Hyundai Exter,Hyundai Exter S,dealer,petrol,automatic,first,suv,fwd,2026,6223,"826,760",19.71 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Silver
Mahindra,Mahindra Thar,Mahindra Thar AX (O),dealer,diesel,manual,first,suv,fwd,2025,20154,"1,384,474",18.19 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Red
Maruti,Maruti Fronx,Maruti Fronx Sigma,dealer,petrol,manual,first,suv,fwd,2026,6862,"881,558",21.25 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,White
Mahindra,Mahindra Thar,Mahindra Thar AX (O),individual,diesel,manual,first,suv,fwd,2026,3321,"1,599,153",18.90 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,White
Maruti,Maruti Swift,Maruti Swift ZXi,dealer,petrol,manual,first,hatchback,fwd,2025,13453,"717,390",21.65 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Red
Kia,Kia Seltos,Kia Seltos HTK,individual,petrol,manual,first,suv,fwd,2026,5662,"1,616,543",20.21 kmpl,1482 cc,157.81 bhp,253 Nm,5,4365,1800,1645,Black
Maruti,Maruti Swift,Maruti Swift ZXi+,dealer,petrol,automatic,first,hatchback,fwd,2025,19877,"685,976",19.39 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,White
Mahindra,Mahindra XUV700,Mahindra XUV700 AX3,dealer,petrol,manual,first,suv,fwd,2025,12604,"2,027,978",16.06 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,Silver
Mahindra,Mahindra XUV700,Mahindra XUV700 MX,dealer,petrol,manual,first,suv,fwd,2025,14071,"2,088,818",16.45 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,Red
Mahindra,Mahindra XUV700,Mahindra XUV700 AX5,dealer,petrol,manual,first,suv,fwd,2025,9468,"2,286,779",17.09 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,Black
Hyundai,Hyundai Exter,Hyundai Exter S,dealer,petrol,manual,first,suv,fwd,2026,2607,"814,950",16.91 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Black
Tata,Tata Punch,Tata Punch Creative,individual,petrol,automatic,second,suv,fwd,2025,19062,"615,095",21.44 kmpl,1199 cc,86.63 bhp,115 Nm,5,3827,1742,1615,Red
Tata,Tata Punch,Tata Punch Creative,dealer,petrol,manual,first,suv,fwd,2026,7712,"677,221",15.95 kmpl,1199 cc,86.63 bhp,115 Nm,5,3827,1742,1615,Black
Tata,Tata Safari,Tata Safari Accomplished,dealer,diesel,manual,second,suv,fwd,2025,14639,"1,824,784",16.95 kmpl,1956 cc,167.62 bhp,350 Nm,7,4668,1922,1795,Black
Maruti,Maruti Grand Vitara,Maruti Grand Vitara Zeta,dealer,petrol,manual,first,suv,fwd,2026,7007,"1,416,537",16.57 kmpl,1462 cc,101.64 bhp,136.8 Nm,5,4345,1795,1645,White
Mahindra,Mahindra Thar,Mahindra Thar AX (O),dealer,diesel,manual,first,suv,fwd,2026,5723,"1,552,768",19.35 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Silver
Tata,Tata Safari,Tata Safari Adventure,individual,diesel,manual,first,suv,fwd,2026,3709,"1,928,814",20.37 kmpl,1956 cc,167.62 bhp,350 Nm,7,4668,1922,1795,Silver
Hyundai,Hyundai Creta,Hyundai Creta S,dealer,petrol,automatic,first,suv,fwd,2026,5722,"1,595,369",15.76 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,White
Toyota,Toyota Innova Hycross,Toyota Innova Hycross VX,individual,petrol,manual,first,muv,fwd,2025,22690,"2,640,447",15.53 kmpl,1987 cc,183.72 bhp,188 Nm,7,4755,1845,1795,Blue
Maruti,Maruti Fronx,Maruti Fronx Sigma,individual,petrol,automatic,first,suv,fwd,2025,14820,"851,505",20.57 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,White
Maruti,Maruti Brezza,Maruti Brezza LXi,dealer,petrol,automatic,first,suv,fwd,2026,8129,"1,176,826",20.95 kmpl,1462 cc,101.65 bhp,136.8 Nm,5,3995,1790,1685,Black
Tata,Tata Nexon,Tata Nexon Pure,individual,petrol,manual,first,suv,fwd,2026,500,"1,016,197",18.05 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,Blue
Hyundai,Hyundai Exter,Hyundai Exter SX (O),individual,petrol,manual,first,suv,fwd,2026,6643,"770,368",18.25 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Blue
Hyundai,Hyundai Creta,Hyundai Creta SX,individual,petrol,manual,first,suv,fwd,2025,15435,"1,455,665",16.71 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Red
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z4,individual,diesel,manual,first,suv,fwd,2025,13504,"2,001,685",17.48 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Grey
Toyota,Toyota Innova Hycross,Toyota Innova Hycross VX,dealer,petrol,manual,first,muv,fwd,2026,5183,"3,066,661",15.60 kmpl,1987 cc,183.72 bhp,188 Nm,7,4755,1845,1795,Blue
Maruti,Maruti Ertiga,Maruti Ertiga ZXi+,dealer,petrol,automatic,first,muv,fwd,2026,1024,"1,248,814",18.14 kmpl,1462 cc,101.65 bhp,136.8 Nm,7,4395,1735,1690,White
Tata,Tata Nexon,Tata Nexon Creative,dealer,petrol,automatic,first,suv,fwd,2025,13901,"917,123",18.31 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,Black
Mahindra,Mahindra XUV700,Mahindra XUV700 AX3,dealer,petrol,manual,first,suv,fwd,2026,5714,"2,304,610",15.84 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,Silver
Maruti,Maruti Brezza,Maruti Brezza VXi,individual,petrol,manual,first,suv,fwd,2025,22389,"1,027,316",20.17 kmpl,1462 cc,101.65 bhp,136.8 Nm,5,3995,1790,1685,Red
Mahindra,Mahindra Thar,Mahindra Thar AX (O),dealer,diesel,manual,first,suv,fwd,2026,3963,"1,635,785",17.53 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Grey
Tata,Tata Punch,Tata Punch Accomplished,dealer,petrol,manual,first,suv,fwd,2026,3383,"615,335",19.88 kmpl,1199 cc,86.63 bhp,115 Nm,5,3827,1742,1615,Silver
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z8,individual,diesel,manual,first,suv,fwd,2026,3996,"2,465,494",18.35 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Grey
Tata,Tata Safari,Tata Safari Smart,individual,diesel,manual,first,suv,fwd,2026,6830,"1,986,535",17.80 kmpl,1956 cc,167.62 bhp,350 Nm,7,4668,1922,1795,White
Hyundai,Hyundai Creta,Hyundai Creta S,dealer,petrol,manual,first,suv,fwd,2026,5657,"1,384,297",15.60 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Silver
Tata,Tata Nexon,Tata Nexon Fearless,dealer,petrol,automatic,first,suv,fwd,2026,3940,"1,027,480",18.15 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,Black
Maruti,Maruti Grand Vitara,Maruti Grand Vitara Sigma,dealer,petrol,automatic,first,suv,fwd,2026,6026,"1,564,658",21.63 kmpl,1462 cc,101.64 bhp,136.8 Nm,5,4345,1795,1645,Silver
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z2,dealer,diesel,manual,first,suv,fwd,2025,15485,"2,280,909",16.10 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Blue
Hyundai,Hyundai Creta,Hyundai Creta SX,dealer,petrol,manual,first,suv,fwd,2026,6937,"1,377,922",15.50 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Silver
Toyota,Toyota Innova Hycross,Toyota Innova Hycross VX,dealer,petrol,automatic,first,muv,fwd,2025,11489,"2,698,536",17.98 kmpl,1987 cc,183.72 bhp,188 Nm,7,4755,1845,1795,Blue
Tata,Tata Safari,Tata Safari Adventure,dealer,diesel,manual,first,suv,fwd,2026,4344,"2,226,531",19.17 kmpl,1956 cc,167.62 bhp,350 Nm,7,4668,1922,1795,Red
Toyota,Toyota Innova Hycross,Toyota Innova Hycross ZX,dealer,petrol,automatic,first,muv,fwd,2025,13039,"2,358,420",18.50 kmpl,1987 cc,183.72 bhp,188 Nm,7,4755,1845,1795,White
Hyundai,Hyundai Creta,Hyundai Creta E,dealer,petrol,manual,first,suv,fwd,2025,7682,"1,341,511",16.60 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Red
Hyundai,Hyundai Creta,Hyundai Creta E,dealer,petrol,manual,first,suv,fwd,2026,5592,"1,671,870",20.34 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Silver
Maruti,Maruti Swift,Maruti Swift ZXi+,dealer,petrol,automatic,first,hatchback,fwd,2026,5522,"798,170",19.44 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Black
Tata,Tata Nexon,Tata Nexon Pure,dealer,petrol,manual,first,suv,fwd,2026,5010,"1,025,844",17.31 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,Blue
Maruti,Maruti Swift,Maruti Swift ZXi+,individual,petrol,manual,first,hatchback,fwd,2025,13827,"786,830",15.62 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,White
Mahindra,Mahindra Thar,Mahindra Thar LX,individual,diesel,automatic,first,suv,fwd,2026,2169,"1,714,991",17.89 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Silver
Hyundai,Hyundai Exter,Hyundai Exter S,dealer,petrol,automatic,first,suv,fwd,2025,12896,"759,556",16.87 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Grey
Maruti,Maruti Swift,Maruti Swift VXi,dealer,petrol,automatic,first,hatchback,fwd,2026,4314,"805,030",19.97 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Grey
Hyundai,Hyundai Exter,Hyundai Exter EX,dealer,petrol,automatic,first,suv,fwd,2025,10988,"709,204",18.23 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Silver
Maruti,Maruti Swift,Maruti Swift ZXi+,dealer,petrol,manual,first,hatchback,fwd,2026,4677,"773,885",21.86 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Silver
Maruti,Maruti Swift,Maruti Swift VXi,individual,petrol,manual,first,hatchback,fwd,2026,5808,"788,699",21.05 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Grey
Mahindra,Mahindra Thar,Mahindra Thar AX (O),individual,diesel,manual,first,suv,fwd,2026,8772,"1,680,910",16.98 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Grey
Kia,Kia Seltos,Kia Seltos GTLine,dealer,petrol,manual,first,suv,fwd,2026,5349,"1,776,145",18.39 kmpl,1482 cc,157.81 bhp,253 Nm,5,4365,1800,1645,Grey
Hyundai,Hyundai Exter,Hyundai Exter S,individual,petrol,automatic,first,suv,fwd,2026,5515,"787,669",19.00 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Silver
Kia,Kia Seltos,Kia Seltos HTX+,dealer,petrol,automatic,first,suv,fwd,2026,4851,"1,467,598",17.70 kmpl,1482 cc,157.81 bhp,253 Nm,5,4365,1800,1645,Blue
Mahindra,Mahindra Thar,Mahindra Thar LX,dealer,diesel,manual,first,suv,fwd,2026,1162,"1,874,439",21.09 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Black
Tata,Tata Nexon,Tata Nexon Pure,dealer,petrol,manual,first,suv,fwd,2026,4946,"1,035,997",15.52 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,Grey
Maruti,Maruti Brezza,Maruti Brezza ZXi+,dealer,petrol,manual,first,suv,fwd,2026,5120,"1,116,626",21.68 kmpl,1462 cc,101.65 bhp,136.8 Nm,5,3995,1790,1685,Blue
Mahindra,Mahindra XUV700,Mahindra XUV700 AX3,dealer,petrol,automatic,first,suv,fwd,2026,9926,"2,369,275",19.42 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,Grey
Maruti,Maruti Fronx,Maruti Fronx Sigma,dealer,petrol,automatic,first,suv,fwd,2026,4615,"890,581",18.11 kmpl,1197 cc,88.50 bhp,113 Nm,5,3995,1765,1550,Blue
Maruti,Maruti Grand Vitara,Maruti Grand Vitara Zeta,individual,petrol,manual,first,suv,fwd,2026,5603,"1,295,607",18.01 kmpl,1462 cc,101.64 bhp,136.8 Nm,5,4345,1795,1645,Silver
Hyundai,Hyundai Exter,Hyundai Exter SX (O),dealer,petrol,manual,first,suv,fwd,2026,4930,"836,860",19.34 kmpl,1197 cc,81.80 bhp,113.8 Nm,5,3815,1710,1631,Silver
Maruti,Maruti Swift,Maruti Swift ZXi,dealer,petrol,manual,first,hatchback,fwd,2026,2662,"749,863",19.67 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Black
Toyota,Toyota Innova Hycross,Toyota Innova Hycross ZX,dealer,petrol,automatic,first,muv,fwd,2025,20714,"2,573,765",19.47 kmpl,1987 cc,183.72 bhp,188 Nm,7,4755,1845,1795,Grey
Maruti,Maruti Swift,Maruti Swift VXi,dealer,petrol,manual,first,hatchback,fwd,2026,6503,"758,923",17.67 kmpl,1197 cc,88.50 bhp,113 Nm,5,3845,1735,1530,Grey
Hyundai,Hyundai Creta,Hyundai Creta SX,dealer,petrol,automatic,first,suv,fwd,2025,18955,"1,414,203",16.92 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Blue
Mahindra,Mahindra Thar,Mahindra Thar LX,dealer,diesel,manual,first,suv,fwd,2026,3181,"1,555,773",20.43 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Silver
Hyundai,Hyundai Creta,Hyundai Creta EX,dealer,petrol,manual,first,suv,fwd,2026,7805,"1,434,577",19.40 kmpl,1497 cc,113.18 bhp,143.8 Nm,5,4330,1790,1635,Blue
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z4,dealer,diesel,manual,first,suv,fwd,2025,7990,"2,337,565",15.63 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,Blue
Maruti,Maruti Ertiga,Maruti Ertiga ZXi,dealer,petrol,automatic,first,muv,fwd,2025,17934,"984,333",20.81 kmpl,1462 cc,101.65 bhp,136.8 Nm,7,4395,1735,1690,Black
Mahindra,Mahindra Thar,Mahindra Thar AX (O),individual,diesel,manual,second,suv,fwd,2025,25952,"1,643,341",15.99 kmpl,2184 cc,130 bhp,300 Nm,4,3985,1820,1844,Blue
Mahindra,Mahindra XUV700,Mahindra XUV700 MX,individual,petrol,manual,first,suv,fwd,2026,3018,"2,326,270",20.53 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,White
Maruti,Maruti Grand Vitara,Maruti Grand Vitara Alpha,dealer,petrol,automatic,first,suv,fwd,2026,3867,"1,412,114",20.76 kmpl,1462 cc,101.64 bhp,136.8 Nm,5,4345,1795,1645,Grey
Tata,Tata Nexon,Tata Nexon Creative,dealer,petrol,automatic,first,suv,fwd,2026,5199,"1,039,038",21.41 kmpl,1198 cc,118.27 bhp,170 Nm,5,3993,1811,1606,Silver
Mahindra,Mahindra Scorpio-N,Mahindra Scorpio-N Z8,individual,diesel,manual,first,suv,fwd,2025,12482,"2,353,144",15.82 kmpl,2198 cc,172.45 bhp,400 Nm,7,4662,1917,1857,White
Maruti,Maruti Grand Vitara,Maruti Grand Vitara Alpha,dealer,petrol,manual,first,suv,fwd,2026,1898,"1,315,594",18.18 kmpl,1462 cc,101.64 bhp,136.8 Nm,5,4345,1795,1645,Blue
Mahindra,Mahindra XUV700,Mahindra XUV700 AX7,dealer,petrol,automatic,first,suv,fwd,2026,5137,"2,394,091",19.58 kmpl,1997 cc,197.13 bhp,380 Nm,7,4695,1890,1755,Black
